Year,AvgGoldMedalistAge
1896,23.03846153846154
1900,28.178770949720672
1904,26.5
1906,26.73015873015873
1908,28.428070175438595
1912,27.372307692307693
1920,29.475374732334046
1924,27.930817610062892
1928,25.985294117647058
1932,26.4609375
1936,25.907780979827088
1948,27.789473684210527
1952,26.46
1956,26.322857142857142
1960,24.823529411764707
1964,25.07598039215686
1968,24.701176470588237
1972,25.09282700421941
1976,24.125984251968504
1980,24.2117202268431
1984,24.267950963222418
1988,24.337726523887973
1992,24.429864253393664
1994,25.37272727272727
1996,25.61019736842105
1998,25.917241379310344
2000,26.104072398190045
2002,26.82716049382716
2004,25.97289156626506
2006,27.443181818181817
2008,25.907600596125185
2010,26.78735632183908
2012,26.001582278481013
2014,26.742574257425744
2016,26.51578947368421
